                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.699,                 2.7855,                 1.8622,                0.53066,                0.20107,                0.16217,                  0.077,                 1.9581,                 2.3035,                 2.2159,               0.070455,              0.0032828,              0.0032828
                      1,                 1.5333,                 1.8668,                 1.7037,                0.59326,                0.25564,                0.32088,                0.11833,                 1.9807,                 2.1279,                 2.1767,               0.040193,              0.0063542,              0.0063542
                      2,                 1.4771,                 1.6971,                 1.6333,                0.59408,                0.30602,                0.32096,                0.16474,                 1.9295,                 2.0261,                 2.1355,              0.0096665,              0.0091615,              0.0091615
                      3,                 1.4816,                 1.6629,                  1.642,                0.72633,                0.24387,                 0.2642,                 0.1298,                 2.0912,                 2.0616,                 2.3722,               0.008812,               0.008812,               0.008812
                      4,                 1.4919,                 1.6063,                 1.6334,                0.63283,                0.22716,                0.24824,                0.12747,                 1.9357,                 2.0852,                 2.2965,               0.008812,               0.008812,               0.008812
                      5,                 1.4766,                 1.5797,                 1.6419,                0.73894,                0.22195,                0.36558,                0.16831,                 1.9589,                 2.3768,                 2.2292,               0.008416,               0.008416,               0.008416
                      6,                 1.4836,                 1.5322,                 1.6505,                0.79607,                0.27554,                0.29988,                   0.15,                 1.8376,                 1.7431,                 2.0812,                0.00802,                0.00802,                0.00802
                      7,                 1.4245,                 1.4344,                 1.5979,                0.69435,                0.26719,                0.25479,                0.14354,                 1.7552,                 1.6608,                 1.9866,               0.007624,               0.007624,               0.007624
                      8,                 1.4147,                 1.3973,                 1.5749,                0.76479,                0.27433,                0.30575,                0.16355,                 1.7819,                 1.6127,                 2.0788,               0.007228,               0.007228,               0.007228
                      9,                 1.3646,                 1.3591,                  1.559,                0.80389,                0.24617,                0.28186,                0.13916,                 1.8839,                 1.6211,                 2.0634,               0.006832,               0.006832,               0.006832
                     10,                 1.3549,                  1.322,                 1.5605,                0.82498,                 0.2385,                0.31709,                0.14818,                 1.8271,                 1.7579,                 2.0389,               0.006436,               0.006436,               0.006436
                     11,                 1.3376,                 1.3164,                 1.5289,                0.43976,                0.46288,                 0.3867,                0.18899,                 1.7613,                 1.4626,                 1.9881,                0.00604,                0.00604,                0.00604
                     12,                 1.2994,                 1.2137,                 1.4898,                0.35427,                0.38847,                0.30041,                0.16395,                 1.7254,                 1.5166,                 2.0385,               0.005644,               0.005644,               0.005644
                     13,                 1.2414,                 1.1435,                 1.4587,                0.41872,                0.46342,                0.36487,                 0.2025,                 1.7289,                 1.3165,                 1.9494,               0.005248,               0.005248,               0.005248
                     14,                 1.2114,                 1.1452,                 1.4465,                 0.7241,                0.39841,                0.42847,                0.21781,                 1.6829,                 1.3852,                 1.9277,               0.004852,               0.004852,               0.004852
                     15,                 1.3074,                 1.1147,                 1.5272,                0.81338,                0.36219,                0.40961,                0.22414,                 1.6646,                 1.3351,                 1.8899,               0.004456,               0.004456,               0.004456
                     16,                 1.2674,                 1.0593,                 1.5045,                0.49679,                0.42888,                0.43221,                0.20895,                  1.699,                 1.3141,                 1.9003,                0.00406,                0.00406,                0.00406
                     17,                 1.2285,                0.97652,                 1.4633,                0.50775,                0.45869,                0.43712,                0.22234,                 1.6028,                 1.2745,                 1.8316,               0.003664,               0.003664,               0.003664
                     18,                 1.1926,                0.93067,                 1.4412,                0.70366,                0.47024,                0.51819,                0.26422,                 1.6215,                 1.3334,                 1.8356,               0.003268,               0.003268,               0.003268
                     19,                 1.1609,                0.89289,                 1.4104,                0.78817,                0.39503,                0.46634,                 0.2407,                 1.5828,                  1.233,                 1.8048,               0.002872,               0.002872,               0.002872
                     20,                 1.1043,                 0.8467,                  1.368,                0.50767,                0.52172,                0.48184,                0.23541,                 1.5881,                 1.2621,                 1.8355,               0.002476,               0.002476,               0.002476
                     21,                 1.0843,                0.80003,                 1.3428,                0.65022,                0.56469,                 0.5074,                0.25449,                 1.5939,                 1.2089,                 1.8684,                0.00208,                0.00208,                0.00208
                     22,                 1.0495,                0.76779,                 1.3408,                0.84641,                0.51588,                0.61707,                0.27692,                 1.5694,                 1.2143,                 1.8568,               0.001684,               0.001684,               0.001684
                     23,                 1.0183,                0.73778,                 1.3134,                0.83292,                0.43372,                0.55446,                0.26193,                 1.6048,                 1.2716,                 1.8437,               0.001288,               0.001288,               0.001288
                     24,                0.96759,                0.69882,                  1.277,                0.57625,                0.55411,                 0.5213,                0.28111,                 1.5413,                 1.2317,                 1.8379,               0.000892,               0.000892,               0.000892
